アイシテマース,アイシテマース,1,Tim Tam,Tom Fool,Menow,Pharamond,Phalaris,Selene,Alcibiades,Supremus,Regal Roman,Gaga,Bull Dog,Teddy,Plucky Liege,Alpoise,Equipoise,Laughing Queen,Two Lea,Bull Lea,Bull Dog,Teddy,Plucky Liege,Rose Leaves,Ballot,Colonial,Two Bob,The Porter,Sweep,Ballet Girl,Blessings,Chicle,Mission Bells,アマゾンウオリアー,Khaled,Hyperion,Gainsborough,Bayardo,Rosedrop,Selene,Chaucer,Serenissima,Eclair,Ethnarch,The Tetrarch,Karenza,Black Ray,Black Jester,Lady Brilliant,War Betsy,War Relic,Man o'War,Fair Play,Mahubah,Friar's Carse,Friar Rock,Problem,Betsy Ross,Mahmoud,Blenheim,Mah Mahal,Celerina,Teddy,Diavolezza
アシンメトリー,アシンメトリー,1,Tejano Run,tejano,カロ,フォルティノ,Grey Sovereign,Ranavalo,Chambord,Chamossaire,Life Hill,アンファンテ,Exclusive Native,Raise a Native,Exclusive,Keep a Secret,Never Bend,Secret Story,Royal Run,Wavering Monarch,Majestic Light,マジェスティックプリンス,Irradiate,Uncommitted,Buckpasser,Lady Be Good,Kazadancoa,グリーンダンサー,ニジンスキー,Green Valley,Khazaeen,Charlottesville,Aimee,Saucyladygaylord,Lord Gaylord,Sir Gaylord,Turn-to,Royal Charger,Source Sucree,Somethingroyal,Princequillo,Imperatrice,Miss Glamour Gal,Ambiorix,Tourbillon,Lavendula,Wild Music,Spy Song,Hostility,Lady Sauce Boat,Sauce Boat,キートゥザミント,グロースターク,Key Bridge,Missy Baba,My Babu,Uvira,Lady Barbizon,Barbizon,Mahmoud,Good Blood,Cancelada,Nigromante,Caninha
アセンブルチェリー,アセンブルチェリー,1,フサイチペガサス,ミスタープロスペクター,Raise a Native,Native Dancer,Mahmoud,Geisha,Raise You,Case Ace,Lady Glory,Gold Digger,Nashua,Nasrullah,Segula,Sequence,Count Fleet,Miss Dogwood,Angel Fever,ダンチヒ,Northern Dancer,Nearctic,Natalma,Pas de Nom,Admiral's Voyage,Petitioner,Rowdy Angel,ヘイロー,Hail to Reason,Cosmah,Ramhyde,Rambunctious,Castle Hyde,マジックコード,Lost Code,Codex,アーツアンドレターズ,Ribot,All Beautiful,Roundup Rose,Minnesota Mac,Minnetonka,Loss or Gain,アクアク,Battle Joined,Fast Turn,Gain or Loss,Restless Native,Nevlina,Beautiful Pet,Flying Paster,Gummo,Fleet Nasrullah,Alabama Gal,Procne,Acroterion,Philomela,Album,Never Bend,Nasrullah,Lalun,Early Frames,Prince John,Bed o'Roses
アップステイト,アップステイト,1,アサティス,Topsider,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Drumtop,Round Table,Princequillo,Knights Daughter,Zonah,Nasrullah,Gambetta,Secret Asset,グロースターク,Ribot,Tenerani,Romanella,Flower Bowl,Alibhai,Flower Bed,Numbered Account,Buckpasser,Tom Fool,Busanda,Intriguing,Swaps,Glamour,サンキストイエロー,カツラギエース,ボイズィーボーイ,King's Troop,Princely Gift,Equiria,Rising Hope,The Phoenix,Admirable,タニノベンチヤ,ヴェンチア,Relic,Rose o'Lynn,アベイブリツジ,Entente Cordiale,British Railways,チヤイナバース,チャイナロック,Rockefella,Hyperion,Rockfel,May Wong,Rustom Pasha,Wezzan,ヒンドバース,ヒンドスタン,Bois Roussel,Sonibai,サンマリノ,トサミドリ,サンキスト
アニオンギャップ,アニオンギャップ,1,Lycius,ミスタープロスペクター,Raise a Native,Native Dancer,Mahmoud,Geisha,Raise You,Case Ace,Lady Glory,Gold Digger,Nashua,Nasrullah,Segula,Sequence,Count Fleet,Miss Dogwood,Lypatia,リファール,Northern Dancer,Nearctic,Natalma,Goofed,Court Martial,Barra,Hypatia,ハイハット,Hyperion,Madonna,Purple Queen,Grey Sovereign,Crimson,Dance Image,サドラーズウェルズ,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Fairy Bridge,Bold Reason,Hail to Reason,Lalun,Special,フォルリ,Thong,Diamond Spring,ヴェイグリーノーブル,ヴィエナ,Aureole,Turkish Blood,Noble Lassie,Nearco,Belle Sauvage,Dumfries,Reviewer,Bold Ruler,Broadway,Goofed,Court Martial,Barra
アパパネ,アパパネ,1,キングカメハメハ,キングマンボ,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Miesque,ヌレイエフ,Northern Dancer,Special,Pasadoble,Prove Out,Santa Quilla,マンファス,ラストタイクーン,トライマイベスト,Northern Dancer,Sex Appeal,Mill Princess,ミルリーフ,Irish Lass,Pilot Bird,Blakeney,Hethersett,Windmill Girl,The Dancer,グリーンダンサー,Khazaeen,ナイトアローン,Salt Lake,デピュティミニスター,Vice Regent,Northern Dancer,Victoria Regina,Mint Copy,Bunty's Flight,Shakney,Take Lady Anne,Queen City Lad,Olden Times,Queen City Miss,Lovita H.,Take Away,Miss Fiddle,Piper Piper,Spectacular Bid,Bold Bidder,Bold Ruler,High Bid,Spectacular,Promised Land,Stop on Red,Alvarada,Hard Work,Golden Ruler,Adds Up,Easterborn,Mt.Hope,Milk Maid Lucy
アビスマルラヴァー,アビスマルラヴァー,1,ラムタラ,ニジンスキー,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Flaming Page,Bull Page,Bull Lea,Our Page,Flaring Top,Menow,Flaming Top,Snow Bride,ブラッシンググルーム,Red God,Nasrullah,Spring Run,Runaway Bride,Wild Risk,Aimee,Awaasif,Snow Knight,Firestreak,Snow Blossom,Royal Statute,Northern Dancer,Queen's Statute,ワカクモライン,マグニテュード,ミルリーフ,Never Bend,Nasrullah,Lalun,Milan Mill,Princequillo,Virginia Water,Altesse Royale,セントクレスピン,Aureole,Neocracy,Bleu Azur,Crepello,Blue Prelude,イチワカ,コントライト,Never Say Die,Nasrullah,Singing Grass,Penitence,Petition,Bootless,ワカクモ,カバーラップ二世,Cover Up,Betty Martin,丘高,セフト,月丘
アマルテアソング,アマルテアソング,1,プラティニ,Surumu,Literat,Birkhahn,Alchimist,Bramouse,Lis,Masetto,Liebeslied,Surama,リライアンス,Tantieme,Relance,Suncourt,Hyperion,Inquisition,Prairie Darling,Stanford,Red God,Nasrullah,Spring Run,Sweet Almond,バステッド,Schonbrunn,Prairie Belle,Northfields,Northern Dancer,Little Hut,Prairie Beauty,Zank,Prairie Oyster,Midnight Fever,Sure Blade,Kris,シャーペンアップ,エタン,Rocchetta,Doubly Sure,リライアンス,Soft Angels,Double Lock,Home Guard,フォルリ,Stay at Home,St. Padina,St.Paddy,Rose of Medina,Majoritat,Konigsstuhl,Dschingis Khan,Tamerlane,Donna Diana,Konigskronung,Tiepoletto,Kronung,Monacchia,Bacchus,Chief,Bona,Monacensia,Kaiseradler,Motette
アラモープリモ,アラモープリモ,1,エンドスウィープ,フォーティナイナー,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,File,トムロルフ,Ribot,Pocahontas,Continue,Double Jay,Courtesy,Broom Dance,Dance Spell,Northern Dancer,Nearctic,Natalma,Obeah,Cyane,Book of Verse,Witching Hour,Thinking Cap,Rosemont,Camargo,Enchanted Eve,Lovely Night,Poupee,ライラアラウィ,ムトト,バステッド,Crepello,Donatello,Crepuscule,Sans le Sou,ヴィミー,Martial Loan,Amazer,ミンシオ,Relic,Merise,Alzara,Alycidon,Zabara,Rowa,Great Nephew,Honeyway,Fairway,Honey Buzzard,Sybil's Niece,Admiral's Walk,Sybil's Sister,Oh So Fair,グロースターク,Ribot,Flower Bowl,Chandelle,Swaps,Malindi
アルカシヨン,アルカシヨン,1,ブライアンズタイム,Roberto,Hail to Reason,Turn-to,Royal Charger,Source Sucree,Nothirdchance,Blue Swords,Galla Colors,Bramalea,Nashua,Nasrullah,Segula,Rarelea,Bull Lea,Bleebok,Kelley's Day,グロースターク,Ribot,Tenerani,Romanella,Flower Bowl,Alibhai,Flower Bed,Golden Trail,Hasty Road,Roman,Traffic Court,Sunny Vale,Eight Thirty,Sun Mixa,バウンドトゥダンス,Northern Dancer,Nearctic,Nearco,Pharos,Nogara,Lady Angela,Hyperion,Sister Sarah,Natalma,Native Dancer,Mahmoud,Geisha,Almahmoud,Mahmoud,Arbitrator,Truly Bound,インリアリティ,Intentionally,Intent,My Recipe,My Dear Girl,Rough'n Tumble,Iltis,Natashka,Dedicate,Princequillo,Dini,Natasha,Nasrullah,Vagrancy
アルバトール,アルバトール,1,トランセンド,ワイルドラッシュ,ワイルドアゲイン,アイスカペイド,Nearctic,Shenanigans,Bushel-n-Peck,Khaled,Dama,Rose Park,プラグドニックル,キートゥザミント,Toll Booth,Hardship,Drone,Hard and Fast,シネマスコープ,トニービン,カンパラ,カラムーン,State Pension,Severn Bridge,Hornbeam,Priddy Fair,ブルーハワイ,スリルショー,Northern Baby,Splendid Girl,サニースワツプス,ハワイ,アイアンエイジ,ラストスターダスト,オジジアン,Damascus,Sword Dancer,Sunglow,Highland Fling,Kerala,My Babu,Blade of Time,Gonfalon,Francis S.,Royal Charger,Blue Eyed Momo,Grand Splendor,Correlation,Cequillo,サクラメグミ,マルゼンスキー,ニジンスキー,Northern Dancer,Flaming Page,シル,Buckpasser,Quill,スーパービツク,ボールドリック,Round Table,Two Cities,ウオーホイツスル,Whistler,Bella Max
アロマパレード,アロマパレード,1,スターマン,ワイズカウンセラー,アレッジド,Hoist the Flag,トムロルフ,Wavy Navy,Princess Pout,Prince John,Determined Lady,Quarrel,Raise a Native,Native Dancer,Raise You,Rhubarb,Barbizon,Judy Rullah,ケイテイルート,ダンディルート,リュティエ,Klairon,Flute Enchantee,Dentrelic,プルーデント,Relict,タイズキ,グレイモナーク,Grey Sovereign,White Lodge,タイフレーム,ライジングフレーム,隆勝,アンサーウィング,トウカイテイオー,シンボリルドルフ,パーソロン,Milesian,Paleo,スイートルナ,スピードシンボリ,ダンスタイム,トウカイナチユラル,ナイスダンサー,Northern Dancer,Nice Princess,トウカイミドリ,ファバージ,トウカイクイン,-,ヴァリイフォージュ,ペティンゴ,Petition,Alcazar,Border Bounty,バウンティアス,B Flat,-,ダイアトム,Sicambre,Dictaway,-,-,-
アンジュデジール,アンジュデジール,1,ディープインパクト,サンデーサイレンス,ヘイロー,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,アンダースタンディング,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ウインドインハーヘア,アルザオ,リファール,Northern Dancer,Goofed,Lady Rebecca,サーアイヴァー,Pocahontas,Burghclere,バステッド,Crepello,Sans le Sou,Highclere,Queen's Hussar,Highlight,ティックルピンク,フレンチデピュティ,デピュティミニスター,Vice Regent,Northern Dancer,Victoria Regina,Mint Copy,Bunty's Flight,Shakney,Mitterand,Hold Your Peace,Speak John,Blue Moon,Laredo Lass,Bold Ruler,Fortunate Isle,ブラッシングプリンセス,Crafty Prospector,ミスタープロスペクター,Raise a Native,Gold Digger,Real Crafty Lady,インリアリティ,Princess Roycraft,Princess Laika,ブラッシンググルーム,Red God,Runaway Bride,Cool Mood,Northern Dancer,Happy Mood
アンフェアデッキ,アンフェアデッキ,1,サンデーサイレンス,ヘイロー,Hail to Reason,Turn-to,Royal Charger,Source Sucree,Nothirdchance,Blue Swords,Galla Colors,Cosmah,Cosmic Bomb,Pharamond,Banish Fear,Almahmoud,Mahmoud,Arbitrator,Wishing Well,アンダースタンディング,Promised Land,Palestinian,Mahmoudess,Pretty Ways,Stymie,Pretty Jo,Mountain Flower,Montparnasse,Gulf Stream,Mignon,Edelweiss,Hillary,Dowager,ロゼカラー,シャーリーハイツ,ミルリーフ,Never Bend,Nasrullah,Lalun,Milan Mill,Princequillo,Virginia Water,Hardiemma,ハーディカヌート,ハードリドン,Harvest Maid,Grand Cross,Grandmaster,Blue Cross,ローザネイ,リファール,Northern Dancer,Nearctic,Natalma,Goofed,Court Martial,Barra,Riviere Doree,セクレタリアト,Bold Ruler,Somethingroyal,Riverqueen,リュティエ,Riverside
アンフレーヴ,アンフレーヴ,1,アンバーシャダイ,ノーザンテースト,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Lady Victoria,Victoria Park,Chop Chop,Victoriana,Lady Angela,Hyperion,Sister Sarah,クリアアンバー,Ambiopoise,Ambiorix,Tourbillon,Lavendula,Bull Poise,Bull Lea,Alpoise,One Clear Call,Gallant Man,Migoli,Majideh,Europa,Bull Lea,Sicily,ドミンガ,Dominion,Derring-Do,Darius,Dante,Yasna,Sipsey Bridge,Abernant,Claudette,Picture Palace,Princely Gift,Nasrullah,Blue Gem,Palais Glide,King Legend,Side Slip,Dame Julian,Blakeney,Hethersett,Hugh Lupus,Bride Elect,Windmill Girl,Hornbeam,Chorus Beauty,March Spray,March Past,Petition,Marcelette,Cup Tie,Big Game,Equipoise
アンヨガジョウズ,アンヨガジョウズ,1,ダイナレター,ノーザンテースト,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Lady Victoria,Victoria Park,Chop Chop,Victoriana,Lady Angela,Hyperion,Sister Sarah,トウザレター,アーツアンドレターズ,Ribot,Tenerani,Romanella,All Beautiful,Battlefield,Parlo,Queen of Capri,フォルリ,Aristophanes,Trevisa,Bold Consort,Bold Ruler,Misty Morn,スワンスキー,マルゼンスキー,ニジンスキー,Northern Dancer,Nearctic,Natalma,Flaming Page,Bull Page,Flaring Top,シル,Buckpasser,Tom Fool,Busanda,Quill,Princequillo,Quick Touch,リビーザリブラ,Delta Judge,Traffic Judge,Alibhai,Traffic Court,Beautillion,Noor,Delta Queen,French to Boot,Djeddah,Djebel,Djezima,Colors to Boot,Our Boots,Army Colors
アーカイビンジリア,アーカイビンジリア,1,グルームダンサー,ブラッシンググルーム,Red God,Nasrullah,Nearco,Mumtaz Begum,Spring Run,Menow,Boola Brook,Runaway Bride,Wild Risk,Rialto,Wild Violet,Aimee,Tudor Minstrel,Emali,Featherhill,リファール,Northern Dancer,Nearctic,Natalma,Goofed,Court Martial,Barra,Lady Berry,Violon d'Ingres,Tourment,Flute Enchantee,Moss Rose,Mossborough,Damasi,マツクホープ,ノーザンテースト,Northern Dancer,Nearctic,Nearco,Lady Angela,Natalma,Native Dancer,Almahmoud,Lady Victoria,Victoria Park,Chop Chop,Victoriana,Lady Angela,Hyperion,Sister Sarah,ヨドセローナ,エルセンタウロ,Sideral,Seductor,Starling,Planetaria,Penny Post,Crescent,パロクサイド,Never Say Die,Nasrullah,Singing Grass,Feather Ball,Big Game,Sweet Cygnet
アーケードクイーン,アーケードクイーン,1,フサイチソニック,デインヒル,ダンチヒ,Northern Dancer,Nearctic,Natalma,Pas de Nom,Admiral's Voyage,Petitioner,Razyana,ヒズマジェスティ,Ribot,Flower Bowl,Spring Adieu,Buckpasser,Natalma,パッショナリア２,Beldale Flutter,Accipiter,Damascus,Kingsland,Flitter Flutter,Cohoes,Ellerslie,Djallybrook,Djakao,Tanerko,Diagonale,Hollybrook,Klairon,La Vagabonde,ベゴニア,プラグドニックル,キートゥザミント,グロースターク,Ribot,Flower Bowl,Key Bridge,Princequillo,Blue Banner,Toll Booth,Buckpasser,Tom Fool,Busanda,Missy Baba,My Babu,Uvira,Dahlia,ヴェイグリーノーブル,ヴィエナ,Aureole,Turkish Blood,Noble Lassie,Nearco,Belle Sauvage,Charming Alibi,Honeys Alibi,Alibhai,Honeymoon,Adorada,Hierocles,Gilded Wave
アースクロック,アースクロック,1,エンドスウィープ,フォーティナイナー,ミスタープロスペクター,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,File,トムロルフ,Ribot,Pocahontas,Continue,Double Jay,Courtesy,Broom Dance,Dance Spell,Northern Dancer,Nearctic,Natalma,Obeah,Cyane,Book of Verse,Witching Hour,Thinking Cap,Rosemont,Camargo,Enchanted Eve,Lovely Night,Poupee,フサイチミニヨン,サンデーサイレンス,ヘイロー,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,アンダースタンディング,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,バレークイーン,サドラーズウェルズ,Northern Dancer,Nearctic,Natalma,Fairy Bridge,Bold Reason,Special,Sun Princess,イングリッシュプリンス,ペティンゴ,English Miss,Sunny Valley,Val de Loir,Sunland
アーノルヘルチェ,アーノルヘルチェ,1,ヤマニンゼファー,ニホンピロウイナー,スティールハート,ハビタット,Sir Gaylord,Little Hut,A. 1,Abernant,Asti Spumante,ニホンピロエバート,チャイナロック,Rockefella,May Wong,ライトフレーム,ライジングフレーム,グリンライト,ヤマニンポリシー,ブラッシンググルーム,Red God,Nasrullah,Spring Run,Runaway Bride,Wild Risk,Aimee,ヤマホウユウ,ガーサント,Bubbles,Montagnana,ミスタルマエ,ハクリョウ,バドミントン,メイショウサユリ,ラッキーソブリン,ニジンスキー,Northern Dancer,Nearctic,Natalma,Flaming Page,Bull Page,Flaring Top,Sovereign,Pardao,Pardal,Three Weeks,Urshalim,Nasrullah,Horama,フアビユリシマ,Le Fabuleux,Wild Risk,Rialto,Wild Violet,Anguar,Verso,La Rochelle,ラシアマード,Blockhaus,Relic,Belle Princesse,アリゼツタ,Alizier,Bella Zetta
アーバンシー,アーバンシー,1,ミスワキ,ミスタープロスペクター,Raise a Native,Native Dancer,Mahmoud,Geisha,Raise You,Case Ace,Lady Glory,Gold Digger,Nashua,Nasrullah,Segula,Sequence,Count Fleet,Miss Dogwood,Hopespringseternal,Buckpasser,Tom Fool,Menow,Gaga,Busanda,War Admiral,Businesslike,Rose Bower,Princequillo,Prince Rose,Cosquilla,Lea Lane,Nasrullah,Lea Lark,Allegretta,Lombard,agio,Tantieme,Deux Pour Cent,Terka,Aralia,Alchimist,Aster,Promised Lady,Prince Chevalier,Prince Rose,Chevalerie,Belle Sauvage,Big Game,Tropical Sun,Anatevka,Espresso,Acropolis,Donatello,Aurora,Babylon,Bahram,Clairvoyante,Almyra,Birkhahn,Alchimist,Bramouse,Alameda,Magnat,Asterblute
